寬	かん,ひろ
亜以己	あいき,あいき
亜伊雅	あいが,あいが
亜維樹	あいき,あいき
亜衣雅	あいが,あいが
亜衣希	あいき,あいき
亜幸	あさき,あゆき
亜漣	あらん,あれん
哀牙	あいが,あいが
哀輝	あいき,あいき
愛一雅	あいが,あいが
愛夏	あいが,あいが,ちかげ
愛牙	あいが,あいが
愛駕	あいが,あいが
愛揮	あいき,あいき
愛己	あいき,あいき
愛香	あいが,あいが
愛士	あいと,かなと,つくし
愛十	あいと,かなと
愛生音	あいと,あおと
愛大	あいと,かなた
愛築	あいき,あいき
愛斗	あきと,あると,おと,かなと
愛透	あいと,かなと
愛飛	あいと,あきと
愛暉	あいき,あいき
愛翔	あいが,あいが,かなと
逢音	あいと,あおと
逢喜	あいき,あいき
逢希	あいき,あいき
逢季	あいき,あいき
逢紀	あいき,あいき
逢輝	あいき,あいき
逢樹	あいき,あいき
逢仁	あいじ,あいと
逢生	あいき,あいき,おうせい
逢大	あお,おうた
葵壱	あおい,きいち
葵乙	あおい,あおと
葵叶	あおい,あおと
葵士	あおし,あおと
葵俊	あおし,あおと
葵晴	あおば,きなり
葵大	あおい,あおと,きひろ
旭人	あきと,あさと,あさひ
旭仁	あきと,あさと
旭斗	あきと,あさと
旭登	あきと,あさと
旭飛	あきと,あさひ
旭翔	あきと,あさひ
綾生	あおい,りょう
伊風	いふう,いぶき
威	あきら,たか
惟颯	いさ,いふう
維新	いしん,いっしん
維真	いさな,いしん
一	おさむ,まこと,まさ
一央	いお,かずお
一音	いおん,いちと
一喜	いつき,かずよし
一基	いつき,かずき
一岐	いつき,かずき
一揮	いつき,かずき
一期	いつき,かずき
一毅	いつき,かずき
一規	いつき,かずき
一記	いつき,かずき,かづき
一起	いつき,かずき
一軌	いつき,かずき
一騎	いつき,かずき
一己	いつき,かずき,かずみ
一光	かずあき,かずみ
一功	いく,かずよし
一冴	いっさ,かずさ
一桜	いっさ,ちはる
一織	いお,かおる
一心	いしん,いっさ
一真	いしん,いっしん,かずま,かずみ
一秦	いっしん,かずは
一晴	いっせい,ひなり
一清	いっせい,かずみ
一生	いお,いっせい,かずお,かずき
一生李	いおり,いぶき
一誠	いっせい,かずあき
一青	いお,いっせい
一爽	いっさ,かずさ
一二三	かずみ,ひろみ
一楓	いつか,いぶき
一優	かずま,かずや
一陽	かずあき,かずや
一来	いつき,かずき
一眞	いっしん,かずま
一絆	いつき,かずき
一翔	いっさ,かける,かずき,かずま
一颯	いっさ,いふう,かずは,ひとは
壱旺	いお,かずあき
壱音	いちと,かずね
壱祈	いつき,かずき
壱輝	いつき,かずき
