亜沙	あすな,あずな
亜珠	あみ,つぐみ
愛	あいら,あみ,ありさ,いつみ,さら,さらん,まどか,まなみ,まりあ,みや,めい,めぐみ,める,らぶ,らら
愛永	あいな,まなえ
愛音	あいね,あいの,あいら,あのん,あやね,うい,うの,かなね,ここね,ねね,まのん,めい,めろん,よしの
愛雅	あいか,まなか
愛叶	あいか,あのん,まなか
愛希	あいね,あのん
愛輝	あいか,あいら
愛空	あいら,のあ,みく,らら
愛月	あいり,あいる,あずき,あるな,あんな,うづき,えれな,えれん,める
愛沙	あいさ,あいしゃ,あすな,あずな
愛咲	あいさ,あいら,ありさ,もえみ
愛桜	あいさ,あいら,ありさ,ちさ,めぐる,らら
愛樹	あいな,あんじゅ
愛織	あいり,あおり,まおり
愛真	あいみ,あさな,えま,なちか,まなみ
愛生	あいな,あいみ,ありな,ういな,ひでほ,まう,まなみ,みう,めい
愛夢	あいる,あゆめ,えむ,まろん,らぶ,らむ
愛来	あいら,あこ,みくる,めい,めぐる,よりこ,らら
愛蘭	あいか,あいら,うらん,さらん,まなか,やすか
愛琉	あいる,える,めぐる,める,りる
愛恋	あいこ,あこ,えれん,かれん
愛路	あいる,える,める
愛和	あいか,あいな,あんな,まなか,みわ
愛絆	あいか,あいな,あいは,あいる,あずな,かのん,すずな,りあな
愛翔	あいか,まなか
葵羽	あいは,あおは,あげは
葵音	あおね,あのん,あやね
葵花	あいか,あおか,あおは
葵海	あおみ,あみ,きみ,まりん
梓	あずさ,あづさ
綾音	あやね,りんね
杏	あんじゅ,あんず,あんな,あんね,もも
杏桜	あずさ,このか
杏梨	あんな,ひめか
杏恋	あこ,きょうこ
伊津美	いつみ,いづみ
依真	いちか,えま
郁	いくみ,かおり
一実	いつみ,ひとみ
一心	いちこ,ひとみ
一芭	いちか,いちは
一帆	いちほ,かほ
一美	いつみ,かすみ,ひとみ
一歩	いちほ,はつほ
一穂	いちほ,かほ,ちほ
一未	いつみ,ひとみ
一葉	いちは,いちよう,いよ
羽音	うい,うの,うらら,はのん,りのん
羽月	うづき,はづき,はるな
映	あかり,はゆる
永愛	えな,えま,えれん,なちか,のあ
瑛海	えいか,えいみ,えみ
英	はな,はんな
英音	あやね,はなね
益美	ありみ,つぐみ
乙和	おとか,おとわ
穏	しずか,のどか
音愛	おとあ,おとめ,のあ
音羽	おとは,おとわ,かのん,のあ,みゆ
音空	おとあ,のあ
音生	おとは,ねい
音陽	いよ,おとは
佳依	かよ,よしえ
佳音	かの,かのん,よしの
佳叶	けいか,よしか
可南	かなん,かのん
夏	まりん,ゆか
夏生	なつは,なつみ
夏陽	かや,なつよ
夏来	かこ,なつこ,なつな
花	さくら,はな,はんな
花依	はなえ,はなよ
花衣	はなえ,はなこ
華	はな,はんな,みう
華依	かよ,はなえ,はるえ
華月	はづき,ゆえ
華陽	かよ,はなび,はなよ
芽	きさ,つぼみ,めい,めぐみ
雅	みや,みやび
雅美	あみ,まみ,みやび
海	まりん,みゅう
海央	みちか,みひろ
海音	かのん,まりん,みい,みおん,みと,みね,みのん
海空	みあ,みう,みく,みそら
海生	うい,みい,みう,みき
海帆	うみほ,かほ,みほ
海来	みき,みく
海蘭	うらん,みか
海里	みさと,みり
海鈴	かりん,まりん,みすず
海來	みき,みく,みくる
海凛	かりん,まりん,みり
海莉	みり,みれい
海凜	かりん,まりん
絵梨	えり,えりん
楽	ささ,のの,るん
叶	かなえ,かの
叶愛	かなえ,かなり,かのん,かれん,かんな,のあ,のあん
叶羽	かなは,かのは,やすは
叶音	かなね,かのん
叶夢	かなみ,かなん,かのん
希	しずか,れあ
希愛	きえ,きより,のあ,のあん,のの,れあ
希音	きの,ねね,ひより
希海	きみ,のあ
希空	きく,のあ
希星	あかり,きほ,きらら
希優	まや,みゆ
希陽	このか,まひな
紀美	あきみ,きみ,ことみ,つぐみ
輝音	あきね,かのん,るね
輝美	きみ,きらら
京	みさと,みやこ
空羽	あきは,そらね
空音	あのん,かのん,そらね,そらの
空優	あやさ,あゆう
薫	かおり,かほり
恵愛	えな,けいな,めぐみ
恵生	えみ,めい,めぐみ
慶	みち,めぐみ
結	みゆ,ゆい
結羽	ゆいは,ゆうは,ゆのは,ゆりは
結音	ゆいね,ゆうね,ゆうの,ゆな,ゆの,ゆのん
結禾	ゆい,ゆいか,ゆいね,ゆうか
結珠	ゆいみ,ゆみ
結生	ゆい,ゆいな,ゆいみ,ゆうな,ゆうは,ゆうみ,ゆな
結帆	ゆいほ,ゆほ
