涉	しょう,わたる
祐久	たすく,よしひさ
涉真	しょうま,たかまさ,ただまさ
祐人	ひろと,ゆうと
祐大	ゆうた,ゆうだい
祐也	ひろや,ゆうや
涉吏	しょうり,たかひと
涉眞	しょうま,たかまさ,ただまさ
涉翔	しょうと,たかと
ゆき也	ゆきなり,ゆきや
愛一朗	あいいちろう,あいいちろう
愛一郎	あいいちろう,あいいちろう
愛虎	ひでとら,まなと
愛幸	あいこう,まなき
愛人	ひでひと,まなと
愛仁	ひでと,まなと,よしと
愛彦	なるひこ,よしひこ
愛彬	のりあき,ひであき
愛富	あとむ,まなと
愛武	まなぶ,まなむ
愛也	のりや,まなや,よしや
愛友	あきとも,まなと
逢右	あいすけ,おうすけ
逢佑	あいすけ,おうすけ,ほうすけ
旭哉	あきや,あさや
旭寿	あきとし,てるひさ
旭将	あきまさ,てるまさ
葦人	よしと,よしひと
葦仁	よしと,よしひと
葦之	よしひで,よしゆき
宛	ひとし,ゆずる
絢葵	じゅんき,はるき
絢一	けんいち,じゅんいち
絢音	けんと,はると
絢希	じゅんき,はるき
絢貴	じゅんき,はるき
絢哉	けんや,じゅんや
絢士	けんし,けんじ,けんと,はると
絢心	けんご,けんしん
絢真	けんしん,けんま,はるま
絢人	けんしん,けんと,はると
絢仁	けんと,はると,はるひと
絢星	けんせい,じゅんせい
絢晴	けんせい,じゅんせい
絢正	けんしょう,けんせい
絢太	あやた,けんた,じゅんた,はるた
絢太朗	あやたろう,けんたろう
絢太郎	あやたろう,けんたろう
絢汰	あやた,けんた
絢大	あやた,けんた,はるた
絢斗	けんと,じゅんと,はると
絢也	けんや,じゅんや,はるや
絢翔	けんしょう,けんと,じゅんと,はると
綾仁	りひと,りょうと
綾太	あやた,りょうた
綾太朗	りょうたろう,りんたろう
綾太郎	あやたろう,りょうたろう,りんたろう
綾汰	あやた,りょうた
綾汰朗	りょうたろう,りんたろう
綾大	りょうた,りょうだい
綾斗	りょうと,りんと
綾之介	りょうのすけ,りんのすけ
綾平	りょうへい,りんぺい
綾翔	りょうが,りょうと,りんと
安輝	やすき,やすてる
安史	やすし,やすふみ
安尚	やすなお,やすひさ
