あいが	愛雅
あいき	愛葵,愛喜,愛基,愛希,愛稀,愛紀,愛貴,愛輝,愛騎,愛樹,愛生,愛絆,藍葵,藍希
あいく	亜郁,愛育,愛郁,愛久,愛玖,愛空,愛来,藍玖,藍空
あいじ	亜依慈,愛慈,愛次,愛路
あいと	愛永,愛音,愛叶,愛生斗,愛斗,愛登,愛都,愛翔,藍都
あいま	愛真,藍真
あお	アオ,亜央,亜生,亜麻,亜雄,愛央,愛緒,愛生,愛大,愛和,愛凰,逢央,逢生,葵,葵央,葵音,葵桜,空央,空音,空桜,空緒,空和,彩桜,彩生,彩和,青,蒼,蒼央,蒼生,碧,明央,明緒,有央
あおい	亜央衣,亜桜依,亜桜衣,亜生,亜生衣,亜穂衣,亜麻依,阿緒衣,阿生,阿保井,愛葵,愛央以,愛央依,愛央衣,愛桜依,愛緒依,愛緒生,愛織姫,愛生,逢生,葵,葵以,葵伊,葵依,葵惟,葵意,葵維,葵衣,葵井,葵郁,葵花,葵海,葵祈,葵生,葵蒼碧,葵唯,葵已,粟生生,安央依,安央維,安緒衣,安生衣,杏桜衣,杏桜生,仰依,仰衣,紺,彩生,翠泉,晴,青以,青伊,青依,青維,青衣,青彩,青生,青泉,扇衣,葬,蒼,蒼以,蒼伊,蒼依,蒼偉,蒼惟,蒼衣,蒼海,蒼空,蒼彩,蒼生,蒼唯,暖穂生,文生伊,碧,碧以,碧伊,碧依,碧偉,碧夷,碧惟,碧維,碧衣,碧郁,碧音,碧海,碧莞,碧祈,碧泉,碧唯,碧已,碧苺,歩緒生,明桜衣,明緒衣,有桜生,藍,藍生
あおき	青葵,蒼希,蒼輝,蒼樹,碧希
あおし	葵紫,蒼志,蒼紫
あおぞら	青空,蒼空,碧空
あおと	愛音,葵斗,葵都,蒼都,蒼翔,碧都
あおば	葵羽,葵生,葵巴,葵波,葵芭,葵葉,青羽,青波,青芭,青葉,蒼羽,蒼波,蒼芭,蒼葉,碧羽,碧映,碧巴,碧波,碧芭,碧葉
あかし	証,灯
あき	亜希,亜季,亜稀,亜記,亜貴,亜輝,亜樹,愛輝,愛樹,旭,安喜,安希,安紀,安芸,瑛,旺,輝,暁,空葵,空希,空輝,吾紀,吾貴,吾樹,光,彩希,彩輝,彩樹,彩来,秋,彰,晶,章,成,誠,彬,明,明葵,明希,明稀,明輝,明生,陽,璃,諒,玲,朗,晄,煌
あきお	暁緒,燦緒,秋桜,秋穂
あきと	秋音
あきなり	朗成
あきひ	晶陽,明陽
あきふみ	秋史
あきら	あきら,アキラ,亜葵羅,亜希良,亜晃,亜樹良,亜煌,愛貴羅,愛煌,旭,旭良,叡,映,映良,瑛,瑛羅,瑛良,英,央,希,輝,亨,暁,空煌,啓,慧,光,晃,彩煌,燦,賛,秋桜,秋羅,秋来,秋良,曙,昭良,晶,晶良,翠,聖,爽楽,爽良,聡,諦楽,彬,彬良,明,明楽,明来,明良,明樂,明煌,陽,亮,亮良,瞭,玲,礼,麗,朗良,惺,晄,暉
あくあ	愛久歩,愛空,安久亜,青空愛,蒼玖歩,明空,亞愛
あさき	亜咲,朝葵,朝喜,朝希,朝稀,朝輝,朝生,麻稀,麻紀
あさぎ	麻樹
あさと	亜里,亜怜,阿里,愛怜,旭翔,安里,朝渡,朝登,朝都,麻登,麻都
あさは	朝葉
あさひ	あさ陽,亜沙陽,亜紗陽,愛佐日,愛沙陽,愛咲陽,旭,旭輝,旭光,旭日,旭桧,旭姫,旭陽,安咲陽,空咲陽,浅燈,浅緋,旦灯,旦陽,朝火,朝輝,朝菊,朝光,朝春,朝灯,朝日,朝妃,朝比,朝緋,朝飛,朝柊,朝姫,朝陽,麻冴,麻仁,麻日,麻比,麻緋,麻柊,麻陽,明彩日,明咲日,明咲陽,諒飛,諒陽
あした	明日
あしたか	葭鷹
あしゅ	亜珠
あす	明日
あすか	亜朱加,亜須加,阿須加,朱鳥,飛鳥,未来翔,明日佳,明日加,明日可,明日嘉,明日夏,明日歌,明日花,明日華,明日賀,明日雅,明日香,明日奏,明日翔
あずま	梓真,梓眞
あせい	亜星,亜聖,亞聖
あつき	亜月,阿月,愛月,貴己,空月,淳喜,淳希,淳紀,淳貴,淳輝,淳樹,淳生,純希,蒼月,暖月,篤希,篤樹,敦基,敦希,敦稀,敦規,敦貴,敦己,碧月,藍月
あつし	敦史,敦志
あづき	天月
あまと	天翔
あまね	雨音,海音,周,周音,天音,天祢,天寧,天嶺,普,弥
あむ	亜夢,阿夢,愛夢,逢夢,明夢
あむろ	愛夢路
あもん	愛紋
あやお	綾音
あやき	絢稀,綾希,郁貴,郁輝,郁樹,彩希,彩季,彩貴,彩輝,文貴
あやと	絢登,絢飛,綾登,彩音,彩登,彩都
あゆき	歩希,歩季,歩貴,歩生
