あいいちろう	愛一朗,愛一郎,藍一朗,藍一郎,愛一朗,愛一郎,藍一朗,藍一郎
あいこう	愛幸,藍好
あいすけ	阿維介,愛介,愛助,愛将,愛輔,愛佑,挨祐,逢右,逢将,逢又,逢佑,吾生輔,吾唯助,吾唯輔,藍介,藍助,藍典,藍輔,藍佑,藍祐,和奨
あいのすけ	哀ノ介,哀乃介,哀之介,哀之助,愛ノ介,愛ノ恭,愛乃恭,愛乃助,愛之育,愛之介,愛之助,愛之佑,逢乃介,逢乃甫,逢之介,逢之佑,相之助,藍ノ介,藍ノ祐,藍乃丞,藍之介,藍之助,和ノ介,和之介,和之佑,曖之介
あおた	葵太,葵汰,葵大,青瑞,青多,青太,青汰,蒼瑞,蒼多,蒼太,蒼汰,蒼大,碧瑞,碧多,碧太,碧汰,碧大
あおや	葵也,葵弥,青哉,青野,青弥,青矢,蒼哉,蒼也,蒼弥,蒼矢,蒼陽,碧哉,碧也,碧弥
あきかず	瑛順,暁一,晃一,晃和,秋一,秋員,秋計,秋算,秋収,秋順,秋数,秋知,秋量,秋和,淳一,彰和,昭一,昭和,章兆,章和,信和,翠航,明春,明和,璃一,朗和,晟運
あきたか	旭郁,旭孝,旭飛,瑛貴,瑛喬,瑛敬,瑛尊,輝貴,尭喬,暁貴,暁孝,暁崇,暁隆,空天,顕孝,顕誉,晃貴,晃孝,晃崇,晃隆,秋貴,秋喬,秋敬,秋孝,秋高,秋峻,秋崇,秋嵩,秋尊,秋鷹,秋隆,秋陵,彰貴,彰宜,彰孝,彰高,彰隆,昭貴,昭敬,昭孝,昭高,昭崇,昭嵩,昭尊,昭隆,晶嵩,章貴,章孝,章高,章隆,紹貴,詮高,聡孝,聡隆,日隆,明貴,明尭,明敬,明謙,明賢,明顕,明孝,明高,明崇,明嵩,明隆,諭昇,陽喬,璃幸,亮宇,亮尚,玲孝,朗隆,晄嵩,晟鷹,暉崚,堯喬
あきちか	旺悠,晃爾,晃周,秋哉,秋慈,秋周,秋親,秋千夏,秋睦,彰恭,昭親,翠允,明哉,明慈,明周,明親,明登,明睦,陽悠,璃親,諒至,晟尋,暉悠,煌規
あきつぐ	瑛壬,覚二,輝世,晃継,晃丞,秋亜,秋継,秋嗣,秋次,秋襲,秋緒,秋接,秋注,昭次,祥嗣,壮嗣,壮次,爽嗣,爽次,聡嗣,聡次,明継,明次,璃嗣,諒丞,朗次,暉継
あきてる	瑛映,瑛輝,瑛晴,暁照,顕輝,秋輝,秋光,秋照,彰輝,彰光,彰晃,彰照,昭照,晶耀,章照,聖晃,明光,明照,璃輝
あきとし	旭寿,瑛寿,瑛星,覚俊,尭司,暁寿,暁俊,暁敏,啓隼,慧星,光倫,晃才,晃寿,晃俊,晃敏,晃稔,晃利,秋紀,秋歳,秋寿,秋淑,秋俊,秋年,秋敏,秋稔,秋利,彰俊,彰敏,彰利,昭賢,昭寿,昭俊,昭年,昭敏,昭利,晶俊,章穏,章寿,章稔,章利,翠寿,彬舜,彬禄,明寿,明俊,明智,明敏,明要,明利,陽才,陽俊,璃俊,亮寿,亮智,亮利,朗俊,煌峻,煌敏
あきとも	愛知,愛智,愛朝,愛伴,愛朋,愛友,愛倫,旭共,旭知,旭智,旭朝,旭伴,旭朋,旭友,旭倫,映知,映智,映朝,映伴,映朋,映友,映倫,瑛知,瑛智,瑛朝,瑛伴,瑛朋,瑛友,瑛倫,旺知,旺智,旺朝,旺伴,旺朋,旺友,旺倫,開知,開智,開友,紀友,輝知,輝智,輝朝,輝伴,輝朋,輝友,輝倫,義友,亨知,亨智,亨朝,亨伴,亨朋,亨友,亨倫,尭知,尭智,尭朝,尭伴,尭朋,尭友,尭倫,暁共,暁知,暁智,暁朝,暁伴,暁朋,暁友,暁倫,空智,空朝,空伴,空朋,空友,空倫,啓友,顕知,顕智,顕朝,顕伴,顕朋,顕友,顕倫,昂知,昂智,昂朝,昂伴,昂朋,昂友,昂倫,晃知,晃智,晃朝,晃伴,晃朋,晃友,晃倫,士知,士智,士朝,士伴,士朋,士友,士倫,秋委,秋供,秋共,秋知,秋智,秋朝,秋灯,秋伴,秋朋,秋友,秋侶,秋倫,曙共,曙智,曙朝,曙友,彰知,彰智,彰朝,彰伴,彰朋,彰友,彰倫,昌知,昌智,昌朝,昌伴,昌朋,昌友,昌倫,昭共,昭知,昭智,昭朝,昭伴,昭朋,昭友,昭倫,晶知,晶智,晶朝,晶灯,晶伴,晶朋,晶友,晶倫,祥知,祥智,祥朝,祥伴,祥朋,祥友,祥倫,章知,章智,章朝,章灯,章伴,章朋,章友,章倫,晋知,晋智,晋朝,晋伴,晋朋,晋友,晋倫,誠智,全共,全知,全智,全灯,全友,壮知,壮智,壮朝,壮伴,壮朋,壮友,壮倫,爽知,爽智,爽朝,爽伴,爽朋,爽友,爽倫,聡知,聡智,聡朝,聡伴,聡朋,聡友,聡倫,旦共,旦知,旦智,旦朝,旦伴,旦友,旦倫,哲朋,日智,日朝,日伴,日朋,日友,日倫,彬共,彬知,彬智,彬朝,彬伴,彬朋,彬友,彬倫,明知,明智,明朝,明伴,明朋,明友,明倫,揚友,耀知,耀智,耀朝,耀伴,耀朋,耀友,耀倫,陽知,陽智,陽朝,陽伴,陽朋,陽友,陽倫,璃友,了知,了智,了朝,了伴,了朋,了友,了倫,亮知,亮智,亮朝,亮伴,亮朋,亮友,亮倫,瞭知,瞭智,瞭朝,瞭伴,瞭朋,瞭友,瞭倫,良知,良智,良朝,良伴,良朋,良友,良倫,諒共,諒知,諒智,諒朝,諒伴,諒朋,諒友,諒倫,礼朋,朗知,朗智,朗朝,朗伴,朗朋,朗友,朗倫,晨知,晨智,晨朝,晨伴,晨朋,晨友,晨倫,晟知,晟智,晟朝,晟伴,晟朋,晟友,晟倫,暉知,暉智,暉朝,暉伴,暉朋,暉友,暉倫,煌朋,燿知,燿智,燿朝,燿伴,燿朋,燿友,燿倫,皓知,皓智,皓朝,皓伴,皓朋,皓友,皓倫
あきのしん	瑛之進,暁之進,顕之進,秋ノ心,秋之心,秋之進,彰之進,昭之進,晶之進,明之進,璃之進
