あいすけ	愛育
あきかず	空知,日和
あきちか	空知,璃和
あきてる	旭輝,明輝
あきとも	空知,日知
あきはる	明陽
あきひさ	明央
あきひろ	輝優
あきまさ	輝優
あきみつ	陽光
あきや	明陽
あきよし	瑛良,秋良,昭良,晶良,彬良,明佳,明良,亮良
あすと	未来翔,明日翔
あたる	央,在,真,直,陽,陽琉
あつお	淳生
あつと	真都
あつのり	淳紀,敦規
あつふみ	敦史
あつむ	温,伍,淳,侑
あゆう	歩宇,歩佑
ありと	有翔
いくと	生斗
いさお	勲,公,功,徳,勇
いさむ	偉,勲,武,満,勇,湧
いずき	稜基,稜稀,稜己,和輝
いずる	出
いたる	至,周,純,暢,流,諄
いちたか	一貴
いちや	一也
いっき	一葵,一喜,一希,一季,一稀,一紀,一貴,一輝,一樹,一綺,逸希,樹紀,粋
いっけい	一慶
いっと	一斗,一翔
うみや	海也
うりゅう	羽流
おうき	皇輝,桜生,大
おうすけ	央理
おうや	桜陽
おおが	大翔
おとき	乙稀,響輝
かいおう	海央
かいき	海生
かいち	海莉
かいよう	海洋
かいん	海音
かずうみ	一海
かずきよ	一聖
かずし	一心
かずたか	一貴,和貴
かずてる	一輝,和輝
かずと	一音,一斗,一歩,一翔,一颯,千都,千翔,和音,和杜
かずとし	一紀,万寿,和紀
かずなり	一也
かずのぶ	一樹,一葉
かずのり	一紀,一慶,和紀,和記
かずはる	一晴,一遥,千治,千晴
かずひさ	千寿,和央,和弥
かずひろ	千寛,千宏,千博,千弥,千裕,万広,万尋,万博,雄大
かずまさ	一聖
かずむ	和夢
かずゆき	和幸
かつし	勝
かつよし	勝美
かぶと	甲
がい	亥
がく	楽,樂
きしょう	希星,希生,季生,輝生,来翔
きずく	築
きせい	希星,希生,輝生,樹星
きょうせい	響生
きょうた	叶多
きよと	陽翔
くうと	空音
くりゅう	空琉,紅瑠
けいた	啓,恵樹
けんと	絢登,絢飛
げん	元,弦,玄,絃,言
こうが	空雅
こうすけ	幸空
こうせい	倖生
こうた	光海
こうや	宏弥
こうよう	紅葉
こうりゅう	光琉
こお	冴
ごう	郷,剛
さいき	彩希,彩生
さいと	哉翔,彩音,彩都
さく	幸空,彩来,采空,咲,朔,桜,生,爽来,櫻,颯空
さくと	桜音,桜都,桜翔
さくや	開陽,咲陽,桜陽
さとき	仁葵,仁希,仁稀
さとし	叡,覚,教,郷,暁,啓,恵,慧,敬,憲,識,俊,聖,聡,知,智,敏,邑,理,里,了,諒,怜,俐,彗,惺
さとはる	智遥
