あい	阿井,愛,曾,相,藍,會
あいい	相井
あいうち	愛内,合内,四十内,相内
あいうら	相浦
あいえ	阿江,相江,藍家
あいお	合尾
あいおい	相生
あいか	秋鹿,相賀
あいかた	相方
あいかみ	相上,相神
あいかわ	阿井川,哀川,愛甲,愛川,鮎川,会川,芥川,合川,四十川,相河,相川,淡川,藍河,藍川,會川
あいが	相賀
あいがき	愛垣,合柿,相垣
あいがさ	相笠
あいがせ	相ヶ瀬
あいがみ	愛上,相上,相神
あいき	愛木,会木,合木,四十木,相木,藍木,會木
あいきょう	愛教,愛敬,鮎京,相京,相亰,藍京
あいくら	相倉
あいぐち	合口,相口,藍口
あいこ	相子
あいこう	愛甲
あいこし	相越
あいごし	相越
あいさか	逢坂,逢阪,合坂,合阪,相坂,相阪,會坂
あいさわ	愛沢,愛澤,逢沢,逢澤,合沢,合澤,相沢,相澤,會澤
あいざ	相座
あいざき	合崎,四十崎,相﨑,相崎,相嵜
あいざわ	阿久沢,阿久澤,愛沢,愛澤,逢沢,逢澤,鮎沢,鮎澤,会沢,会澤,合沢,合澤,四十沢,四十澤,相沢,相澤,藍沢,藍澤,會沢,會澤,埃沢
あいした	愛下
あいしま	相島
あいじ	合路
あいじま	愛島,会島,会嶋,合島,相島,相嶋,會嶋
あいす	愛州,愛洲,愛須,四十洲,相須,相巣
あいず	會津
あいずみ	阿泉,四十住,相住,相泉,相墨
あいせ	相瀬
あいぜき	相関
あいぜん	愛染
あいそ	間曾,間曽,四十,相磯,相曾,相曽,相蘇,相蘓
あいそう	相宗
あいた	会田,曾田,相多,相田,會田
あいたけ	四十竹
あいたに	愛谷,会谷,間谷,蟻渓,合谷,四十谷,相谷,藍谷,會谷
あいだ	阿以田,愛田,英田,会田,間,饗田,合田,四十田,曾田,相田,蓬田,藍田,會田
あいだに	間谷
あいち	愛知,愛地,愛智,間地,相知,相地,相智
あいちゃ	相茶
あいつき	愛月,合月,相築
あいつぼ	合坪
あいづ	会津,間津,合津,相津,會津
あいづき	愛月,合月,相月
あいと	合戸,相戸
あいとう	相当,相藤
あいとく	相徳
あいど	合戸
あいない	相内
あいの	愛野,逢野,会野,合野,相埜,相野,藍野,會野
あいのだ	相野田
あいのや	相野谷
あいはた	間畠,相畑,藍畑
あいはら	愛原,粟原,粟飯原,庵原,荏原,会原,間原,合原,在原,相原,藍原,會原
あいば	愛場,愛波,愛葉,会場,間場,間馬,饗場,饗庭,合場,合庭,餐場,相羽,相場,相庭,相波,相馬,相葉,藍場,藍葉
あいばら	粟飯原,合原,相原,藍原
あいびき	相引
あいべ	相部
あいぼし	相星
あいまつ	相松
あいみ	会見,相見,會見
あいみや	相宮
あいむ	相武
あいもと	相本
あいもの	四十物
あいものや	四十物谷
あいや	愛屋
あいやま	愛山,合山,四十山,相山,藍山,會山
あいよし	相吉
あいよしざわ	相吉沢,相吉澤
あいら	姶良
あいろく	合六
あうち	阿内
あえ	阿江
あえば	饗場,饗庭
あお	阿尾,粟生,青
あおあい	青合
あおい	青井
あおいけ	青池
あおいし	青石
あおいだ	葵田
あおいで	青出
あおう	粟生
あおうだ	粟生田
あおうめ	青梅
あおえ	青栄,青江,青枝
あおえだ	青枝
あおお	青尾
あおか	青鹿
あおかげ	青蔭,青陰,青影,青景
あおかた	青方
あおかわ	青川
あおがい	青海,青貝
あおがき	青垣,青柿,青柹
あおき	靑木,葵木,青黄,青鬼,青儀,青樹,青城,青木,碧木,滄木
あおぎ	仰,青儀
あおくさ	青草
あおぐも	青雲
あおさ	青佐
あおさか	青坂
あおさき	青﨑,青崎,青嵜
あおささ	青笹
あおさわ	青澤
あおざき	青崎
あおざさ	青笹
あおし	青枝
あおしか	青鹿
あおしば	青柴
あおしま	青島,青嶋,青嶌
あおじ	青地
あおぞの	青園
あおぞら	青空
あおた	粟生田,青田,麥田
あおたか	青高
あおたけ	青竹
あおたに	青谷
あおち	青地
あおぢ	青地
あおつか	青塚,青墳,青冢
あおづか	青塚
あおてき	青手木
あおと	靑砥,青戸,青砥
あおとう	青藤
あおなし	青梨
あおなみ	青波
あおにし	青西
あおぬき	青貫
あおぬま	青沼
あおね	青根
あおの	青野
あおば	青羽,青葉
あおぶち	青淵
あおまつ	青松
あおまめ	青豆
あおみ	青海,青見,青水,碧海
あおみね	青峰
あおむら	青村
あおめ	青目
あおもと	青本
あおもり	青森,青盛,蒼森
あおや	粟生屋,青屋,青谷,青矢
あおやぎ	青栁,青柳
あおやど	青宿
あおやなぎ	青柳
あおやま	青山,碧山
あおり	阿折
あか	阿嘉
あかあな	赤穴
あかい	赤井,赤居,明井,閼伽井
あかいけ	赤池
あかいざわ	赤井沢
あかいし	赤石,明石
あかいしざわ	赤石沢
あかいだ	赤井田
あかいでがわ	赤出川
あかいはた	赤井畑
あかいわ	赤岩
あかうし	赤牛
あかえ	赤江
あかえだ	赤枝
あかお	赤尾
あかおか	赤岡
あかおぎ	赤荻
あかおぜき	赤尾関
あかかべ	赤家部,赤壁
あかがき	赤垣
あかがし	赤樫
あかがね	赤金,銅
あかがみ	赤上,赤神
あかがりやま	赤狩山
あかがわ	赤川
あかき	赤木
